Requirement ID,Requirement,Tokenized_Requirement,Encoded_Requirement
R011,the system must log performance data every 10 seconds for diagnostics.,"['the', 'Ġsystem', 'Ġmust', 'Ġlog', 'Ġperformance', 'Ġdata', 'Ġevery', 'Ġ10', 'Ġseconds', 'Ġfor', 'Ġdiagn', 'ostics', '.']","[0, 627, 467, 531, 7425, 819, 414, 358, 158, 2397, 13, 25378, 21611, 4, 2]"
R012,the vehicle must operate silently below 20 km/h for urban environments.,"['the', 'Ġvehicle', 'Ġmust', 'Ġoperate', 'Ġsilently', 'Ġbelow', 'Ġ20', 'Ġkm', '/', 'h', 'Ġfor', 'Ġurban', 'Ġenvironments', '.']","[0, 627, 1155, 531, 4303, 32412, 874, 291, 6301, 73, 298, 13, 4879, 11534, 4, 2]"
R013,the throttle response must be adjustable via a mobile app within 1 second.,"['the', 'Ġthrottle', 'Ġresponse', 'Ġmust', 'Ġbe', 'Ġadjustable', 'Ġvia', 'Ġa', 'Ġmobile', 'Ġapp', 'Ġwithin', 'Ġ1', 'Ġsecond', '.']","[0, 627, 31224, 1263, 531, 28, 29861, 1241, 10, 1830, 1553, 624, 112, 200, 4, 2]"
R014,the system must detect and compensate for tire pressure loss within 5 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġdetect', 'Ġand', 'Ġcompensate', 'Ġfor', 'Ġtire', 'Ġpressure', 'Ġloss', 'Ġwithin', 'Ġ5', 'Ġseconds', '.']","[0, 627, 467, 531, 10933, 8, 18070, 13, 12431, 1164, 872, 624, 195, 2397, 4, 2]"
R015,the motor must maintain consistent torque across a temperature range of -10°c to 40°c.,"['the', 'Ġmotor', 'Ġmust', 'Ġmaintain', 'Ġconsistent', 'Ġtorque', 'Ġacross', 'Ġa', 'Ġtemperature', 'Ġrange', 'Ġof', 'Ġ-', '10', 'Â°', 'c', 'Ġto', 'Ġ40', 'Â°', 'c', '.']","[0, 627, 4243, 531, 3014, 4292, 20173, 420, 10, 5181, 1186, 9, 111, 698, 12938, 438, 7, 843, 12938, 438, 4, 2]"
R016,the system must support a payload capacity of 150 kg without performance degradation.,"['the', 'Ġsystem', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġpayload', 'Ġcapacity', 'Ġof', 'Ġ150', 'Ġkg', 'Ġwithout', 'Ġperformance', 'Ġdegradation', '.']","[0, 627, 467, 531, 323, 10, 29239, 2148, 9, 3982, 14091, 396, 819, 30223, 4, 2]"
R017,the vehicle must accelerate from 0 to 50 km/h in under 6 seconds.,"['the', 'Ġvehicle', 'Ġmust', 'Ġaccelerate', 'Ġfrom', 'Ġ0', 'Ġto', 'Ġ50', 'Ġkm', '/', 'h', 'Ġin', 'Ġunder', 'Ġ6', 'Ġseconds', '.']","[0, 627, 1155, 531, 10107, 31, 321, 7, 654, 6301, 73, 298, 11, 223, 231, 2397, 4, 2]"
R018,the system must reduce power output by 20% in eco mode.,"['the', 'Ġsystem', 'Ġmust', 'Ġreduce', 'Ġpower', 'Ġoutput', 'Ġby', 'Ġ20', '%', 'Ġin', 'Ġeco', 'Ġmode', '.']","[0, 627, 467, 531, 1888, 476, 4195, 30, 291, 207, 11, 21139, 5745, 4, 2]"
R019,the traction control system must activate within 50 ms of wheel slip detection.,"['the', 'Ġtraction', 'Ġcontrol', 'Ġsystem', 'Ġmust', 'Ġactivate', 'Ġwithin', 'Ġ50', 'Ġms', 'Ġof', 'Ġwheel', 'Ġslip', 'Ġdetection', '.']","[0, 627, 14443, 797, 467, 531, 22284, 624, 654, 43601, 9, 5964, 9215, 12673, 4, 2]"
R020,the system must provide real-time speed data with 99% accuracy.,"['the', 'Ġsystem', 'Ġmust', 'Ġprovide', 'Ġreal', '-', 'time', 'Ġspeed', 'Ġdata', 'Ġwith', 'Ġ99', '%', 'Ġaccuracy', '.']","[0, 627, 467, 531, 694, 588, 12, 958, 2078, 414, 19, 6705, 207, 8611, 4, 2]"
R021,the braking system must engage abs when deceleration exceeds 0.8g.,"['the', 'Ġbraking', 'Ġsystem', 'Ġmust', 'Ġengage', 'Ġabs', 'Ġwhen', 'Ġde', 'celer', 'ation', 'Ġexceeds', 'Ġ0', '.', '8', 'g', '.']","[0, 627, 26500, 467, 531, 4949, 15428, 77, 263, 24608, 1258, 23984, 321, 4, 398, 571, 4, 2]"
R022,the vehicle must withstand a side impact of 5 kn without structural failure.,"['the', 'Ġvehicle', 'Ġmust', 'Ġwithstand', 'Ġa', 'Ġside', 'Ġimpact', 'Ġof', 'Ġ5', 'Ġkn', 'Ġwithout', 'Ġstructural', 'Ġfailure', '.']","[0, 627, 1155, 531, 19590, 10, 526, 913, 9, 195, 11269, 396, 9825, 2988, 4, 2]"
R023,the system must alert the rider of obstacles within 2 meters ahead.,"['the', 'Ġsystem', 'Ġmust', 'Ġalert', 'Ġthe', 'Ġrider', 'Ġof', 'Ġobstacles', 'Ġwithin', 'Ġ2', 'Ġmeters', 'Ġahead', '.']","[0, 627, 467, 531, 5439, 5, 11578, 9, 13143, 624, 132, 7679, 789, 4, 2]"
R024,the headlights must automatically adjust brightness based on ambient light within 200 ms.,"['the', 'Ġheadlights', 'Ġmust', 'Ġautomatically', 'Ġadjust', 'Ġbrightness', 'Ġbased', 'Ġon', 'Ġambient', 'Ġlight', 'Ġwithin', 'Ġ200', 'Ġms', '.']","[0, 627, 30427, 531, 6885, 9160, 27406, 716, 15, 25771, 1109, 624, 1878, 43601, 4, 2]"
R025,the safety system must lock the vehicle if the rider’s helmet is not detected.,"['the', 'Ġsafety', 'Ġsystem', 'Ġmust', 'Ġlock', 'Ġthe', 'Ġvehicle', 'Ġif', 'Ġthe', 'Ġrider', 'âĢ', 'Ļ', 's', 'Ġhelmet', 'Ġis', 'Ġnot', 'Ġdetected', '.']","[0, 627, 1078, 467, 531, 7014, 5, 1155, 114, 5, 11578, 17, 27, 29, 13722, 16, 45, 12333, 4, 2]"
R026,the system must allow manual override of all safety locks via a key fob.,"['the', 'Ġsystem', 'Ġmust', 'Ġallow', 'Ġmanual', 'Ġoverride', 'Ġof', 'Ġall', 'Ġsafety', 'Ġlocks', 'Ġvia', 'Ġa', 'Ġkey', 'Ġf', 'ob', '.']","[0, 627, 467, 531, 1157, 12769, 30333, 9, 70, 1078, 13284, 1241, 10, 762, 856, 2413, 4, 2]"
R027,the vehicle must stop within 5 meters when an emergency brake is triggered.,"['the', 'Ġvehicle', 'Ġmust', 'Ġstop', 'Ġwithin', 'Ġ5', 'Ġmeters', 'Ġwhen', 'Ġan', 'Ġemergency', 'Ġbrake', 'Ġis', 'Ġtriggered', '.']","[0, 627, 1155, 531, 912, 624, 195, 7679, 77, 41, 1923, 18507, 16, 7544, 4, 2]"
R028,the system must detect rider fatigue via grip sensors after 30 minutes of riding.,"['the', 'Ġsystem', 'Ġmust', 'Ġdetect', 'Ġrider', 'Ġfatigue', 'Ġvia', 'Ġgrip', 'Ġsensors', 'Ġafter', 'Ġ30', 'Ġminutes', 'Ġof', 'Ġriding', '.']","[0, 627, 467, 531, 10933, 11578, 16069, 1241, 11155, 10075, 71, 389, 728, 9, 5793, 4, 2]"
R029,the airbags (if equipped) must deploy within 20 ms of a collision detection.,"['the', 'Ġair', 'bags', 'Ġ(', 'if', 'Ġequipped', ')', 'Ġmust', 'Ġdeploy', 'Ġwithin', 'Ġ20', 'Ġms', 'Ġof', 'Ġa', 'Ġcollision', 'Ġdetection', '.']","[0, 627, 935, 19090, 36, 1594, 8895, 43, 531, 11386, 624, 291, 43601, 9, 10, 7329, 12673, 4, 2]"
R030,the system must maintain balance at 0 km/h for at least 10 seconds (self-balancing mode).,"['the', 'Ġsystem', 'Ġmust', 'Ġmaintain', 'Ġbalance', 'Ġat', 'Ġ0', 'Ġkm', '/', 'h', 'Ġfor', 'Ġat', 'Ġleast', 'Ġ10', 'Ġseconds', 'Ġ(', 'self', '-', 'bal', 'ancing', 'Ġmode', ').']","[0, 627, 467, 531, 3014, 2394, 23, 321, 6301, 73, 298, 13, 23, 513, 158, 2397, 36, 13367, 12, 8667, 7710, 5745, 322, 2]"
R031,the vehicle must withstand 1000 charge cycles without battery capacity dropping below 80%.,"['the', 'Ġvehicle', 'Ġmust', 'Ġwithstand', 'Ġ1000', 'Ġcharge', 'Ġcycles', 'Ġwithout', 'Ġbattery', 'Ġcapacity', 'Ġdropping', 'Ġbelow', 'Ġ80', '%.']","[0, 627, 1155, 531, 19590, 10775, 1427, 16726, 396, 3822, 2148, 6614, 874, 1812, 2153, 2]"
R032,the system must alert the rider if tire wear exceeds 50%.,"['the', 'Ġsystem', 'Ġmust', 'Ġalert', 'Ġthe', 'Ġrider', 'Ġif', 'Ġtire', 'Ġwear', 'Ġexceeds', 'Ġ50', '%.']","[0, 627, 467, 531, 5439, 5, 11578, 114, 12431, 3568, 23984, 654, 2153, 2]"
R033,the crash detection system must notify emergency services within 10 seconds.,"['the', 'Ġcrash', 'Ġdetection', 'Ġsystem', 'Ġmust', 'Ġnotify', 'Ġemergency', 'Ġservices', 'Ġwithin', 'Ġ10', 'Ġseconds', '.']","[0, 627, 2058, 12673, 467, 531, 18981, 1923, 518, 624, 158, 2397, 4, 2]"
R034,the system must limit speed to 25 km/h in pedestrian zones.,"['the', 'Ġsystem', 'Ġmust', 'Ġlimit', 'Ġspeed', 'Ġto', 'Ġ25', 'Ġkm', '/', 'h', 'Ġin', 'Ġpedestrian', 'Ġzones', '.']","[0, 627, 467, 531, 3000, 2078, 7, 564, 6301, 73, 298, 11, 11038, 8905, 4, 2]"
R035,the vehicle must resist water ingress up to 1 meter submersion for 30 minutes.,"['the', 'Ġvehicle', 'Ġmust', 'Ġresist', 'Ġwater', 'Ġing', 'ress', 'Ġup', 'Ġto', 'Ġ1', 'Ġmeter', 'Ġsub', 'm', 'ersion', 'Ġfor', 'Ġ30', 'Ġminutes', '.']","[0, 627, 1155, 531, 11942, 514, 21691, 5224, 62, 7, 112, 16209, 2849, 119, 39565, 13, 389, 728, 4, 2]"
R036,the system must perform a self-diagnostic check within 5 seconds of startup.,"['the', 'Ġsystem', 'Ġmust', 'Ġperform', 'Ġa', 'Ġself', '-', 'diagn', 'ostic', 'Ġcheck', 'Ġwithin', 'Ġ5', 'Ġseconds', 'Ġof', 'Ġstartup', '.']","[0, 627, 467, 531, 3008, 10, 1403, 12, 37445, 31831, 1649, 624, 195, 2397, 9, 9143, 4, 2]"
R037,the horn must produce a sound level of at least 90 db at 5 meters.,"['the', 'Ġhorn', 'Ġmust', 'Ġproduce', 'Ġa', 'Ġsound', 'Ġlevel', 'Ġof', 'Ġat', 'Ġleast', 'Ġ90', 'Ġdb', 'Ġat', 'Ġ5', 'Ġmeters', '.']","[0, 627, 21305, 531, 2592, 10, 2369, 672, 9, 23, 513, 1814, 45655, 23, 195, 7679, 4, 2]"
R038,the system must prevent motor startup if the kickstand is down.,"['the', 'Ġsystem', 'Ġmust', 'Ġprevent', 'Ġmotor', 'Ġstartup', 'Ġif', 'Ġthe', 'Ġkick', 'stand', 'Ġis', 'Ġdown', '.']","[0, 627, 467, 531, 2097, 4243, 9143, 114, 5, 3151, 8490, 16, 159, 4, 2]"
R039,the safety system must log all incidents with timestamps for review.,"['the', 'Ġsafety', 'Ġsystem', 'Ġmust', 'Ġlog', 'Ġall', 'Ġincidents', 'Ġwith', 'Ġtim', 'est', 'amps', 'Ġfor', 'Ġreview', '.']","[0, 627, 1078, 467, 531, 7425, 70, 4495, 19, 15679, 990, 9782, 13, 1551, 4, 2]"
R040,the vehicle must support over-the-air firmware updates without interrupting operation.,"['the', 'Ġvehicle', 'Ġmust', 'Ġsupport', 'Ġover', '-', 'the', '-', 'air', 'Ġfirmware', 'Ġupdates', 'Ġwithout', 'Ġinterrupt', 'ing', 'Ġoperation', '.']","[0, 627, 1155, 531, 323, 81, 12, 627, 12, 2456, 34569, 3496, 396, 22749, 154, 2513, 4, 2]"
R041,"the dashboard must display speed, battery level, and range with a refresh rate of 1 hz.","['the', 'Ġdashboard', 'Ġmust', 'Ġdisplay', 'Ġspeed', ',', 'Ġbattery', 'Ġlevel', ',', 'Ġand', 'Ġrange', 'Ġwith', 'Ġa', 'Ġrefresh', 'Ġrate', 'Ġof', 'Ġ1', 'Ġh', 'z', '.']","[0, 627, 24246, 531, 2332, 2078, 6, 3822, 672, 6, 8, 1186, 19, 10, 14240, 731, 9, 112, 1368, 329, 4, 2]"
R042,the system must allow riders to set a custom speed limit via the ui within 2 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġallow', 'Ġriders', 'Ġto', 'Ġset', 'Ġa', 'Ġcustom', 'Ġspeed', 'Ġlimit', 'Ġvia', 'Ġthe', 'Ġu', 'i', 'Ġwithin', 'Ġ2', 'Ġseconds', '.']","[0, 627, 467, 531, 1157, 7887, 7, 278, 10, 6777, 2078, 3000, 1241, 5, 1717, 118, 624, 132, 2397, 4, 2]"
R043,the ui must provide audible alerts for low battery at 10% intervals.,"['the', 'Ġu', 'i', 'Ġmust', 'Ġprovide', 'Ġaudible', 'Ġalerts', 'Ġfor', 'Ġlow', 'Ġbattery', 'Ġat', 'Ġ10', '%', 'Ġintervals', '.']","[0, 627, 1717, 118, 531, 694, 37621, 5431, 13, 614, 3822, 23, 158, 207, 29087, 4, 2]"
R044,the display must remain legible in direct sunlight (minimum 1000 nits brightness).,"['the', 'Ġdisplay', 'Ġmust', 'Ġremain', 'Ġleg', 'ible', 'Ġin', 'Ġdirect', 'Ġsunlight', 'Ġ(', 'minimum', 'Ġ1000', 'Ġn', 'its', 'Ġbrightness', ').']","[0, 627, 2332, 531, 1091, 2985, 4748, 11, 2228, 20843, 36, 43410, 10775, 295, 2629, 27406, 322, 2]"
R045,the system must support voice commands for navigation with 95% accuracy.,"['the', 'Ġsystem', 'Ġmust', 'Ġsupport', 'Ġvoice', 'Ġcommands', 'Ġfor', 'Ġnavigation', 'Ġwith', 'Ġ95', '%', 'Ġaccuracy', '.']","[0, 627, 467, 531, 323, 2236, 16388, 13, 14461, 19, 6164, 207, 8611, 4, 2]"
R046,the ui must switch to night mode automatically within 500 ms of darkness detection.,"['the', 'Ġu', 'i', 'Ġmust', 'Ġswitch', 'Ġto', 'Ġnight', 'Ġmode', 'Ġautomatically', 'Ġwithin', 'Ġ500', 'Ġms', 'Ġof', 'Ġdarkness', 'Ġdetection', '.']","[0, 627, 1717, 118, 531, 5405, 7, 363, 5745, 6885, 624, 1764, 43601, 9, 15073, 12673, 4, 2]"
R047,the dashboard must show real-time diagnostics using at least 50% of the screen.,"['the', 'Ġdashboard', 'Ġmust', 'Ġshow', 'Ġreal', '-', 'time', 'Ġdiagn', 'ostics', 'Ġusing', 'Ġat', 'Ġleast', 'Ġ50', '%', 'Ġof', 'Ġthe', 'Ġscreen', '.']","[0, 627, 24246, 531, 311, 588, 12, 958, 25378, 21611, 634, 23, 513, 654, 207, 9, 5, 2441, 4, 2]"
R048,the dashboard must dedicate 80% of the screen to navigation during active routes.,"['the', 'Ġdashboard', 'Ġmust', 'Ġdedicate', 'Ġ80', '%', 'Ġof', 'Ġthe', 'Ġscreen', 'Ġto', 'Ġnavigation', 'Ġduring', 'Ġactive', 'Ġroutes', '.']","[0, 627, 24246, 531, 27036, 1812, 207, 9, 5, 2441, 7, 14461, 148, 2171, 7145, 4, 2]"
R049,the system must provide haptic feedback on handlebars for critical alerts.,"['the', 'Ġsystem', 'Ġmust', 'Ġprovide', 'Ġha', 'ptic', 'Ġfeedback', 'Ġon', 'Ġhandle', 'bars', 'Ġfor', 'Ġcritical', 'Ġalerts', '.']","[0, 627, 467, 531, 694, 2489, 24617, 6456, 15, 3679, 38493, 13, 2008, 5431, 4, 2]"
R050,the ui must support a touchscreen response time of under 100 ms.,"['the', 'Ġu', 'i', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġtouchscreen', 'Ġresponse', 'Ġtime', 'Ġof', 'Ġunder', 'Ġ100', 'Ġms', '.']","[0, 627, 1717, 118, 531, 323, 10, 24642, 1263, 86, 9, 223, 727, 43601, 4, 2]"
R051,the system must display a warning if connectivity drops for more than 5 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġdisplay', 'Ġa', 'Ġwarning', 'Ġif', 'Ġconnectivity', 'Ġdrops', 'Ġfor', 'Ġmore', 'Ġthan', 'Ġ5', 'Ġseconds', '.']","[0, 627, 467, 531, 2332, 10, 2892, 114, 10335, 9305, 13, 55, 87, 195, 2397, 4, 2]"
R052,the ui must allow riders to toggle eco mode with a single button press.,"['the', 'Ġu', 'i', 'Ġmust', 'Ġallow', 'Ġriders', 'Ġto', 'Ġtoggle', 'Ġeco', 'Ġmode', 'Ġwith', 'Ġa', 'Ġsingle', 'Ġbutton', 'Ġpress', '.']","[0, 627, 1717, 118, 531, 1157, 7887, 7, 23012, 21139, 5745, 19, 10, 881, 6148, 1228, 4, 2]"
R053,the system must store up to 10 recent routes for navigation history.,"['the', 'Ġsystem', 'Ġmust', 'Ġstore', 'Ġup', 'Ġto', 'Ġ10', 'Ġrecent', 'Ġroutes', 'Ġfor', 'Ġnavigation', 'Ġhistory', '.']","[0, 627, 467, 531, 1400, 62, 7, 158, 485, 7145, 13, 14461, 750, 4, 2]"
R054,the display must support multilingual text with real-time translation.,"['the', 'Ġdisplay', 'Ġmust', 'Ġsupport', 'Ġmult', 'ilingual', 'Ġtext', 'Ġwith', 'Ġreal', '-', 'time', 'Ġtranslation', '.']","[0, 627, 2332, 531, 323, 7268, 41586, 2788, 19, 588, 12, 958, 19850, 4, 2]"
R055,the ui must lock non-critical features while the vehicle is in motion.,"['the', 'Ġu', 'i', 'Ġmust', 'Ġlock', 'Ġnon', '-', 'critical', 'Ġfeatures', 'Ġwhile', 'Ġthe', 'Ġvehicle', 'Ġis', 'Ġin', 'Ġmotion', '.']","[0, 627, 1717, 118, 531, 7014, 786, 12, 25398, 1575, 150, 5, 1155, 16, 11, 4298, 4, 2]"
R056,the battery management system must balance cells within 1 hour of charging start.,"['the', 'Ġbattery', 'Ġmanagement', 'Ġsystem', 'Ġmust', 'Ġbalance', 'Ġcells', 'Ġwithin', 'Ġ1', 'Ġhour', 'Ġof', 'Ġcharging', 'Ġstart', '.']","[0, 627, 3822, 1052, 467, 531, 2394, 4590, 624, 112, 1946, 9, 6489, 386, 4, 2]"
R057,the system must shut down non-essential features when battery drops below 5%.,"['the', 'Ġsystem', 'Ġmust', 'Ġshut', 'Ġdown', 'Ġnon', '-', 'essential', 'Ġfeatures', 'Ġwhen', 'Ġbattery', 'Ġdrops', 'Ġbelow', 'Ġ5', '%.']","[0, 627, 467, 531, 2572, 159, 786, 12, 23693, 1575, 77, 3822, 9305, 874, 195, 2153, 2]"
R058,the battery must charge from 0% to 80% within 4 hours using a standard charger.,"['the', 'Ġbattery', 'Ġmust', 'Ġcharge', 'Ġfrom', 'Ġ0', '%', 'Ġto', 'Ġ80', '%', 'Ġwithin', 'Ġ4', 'Ġhours', 'Ġusing', 'Ġa', 'Ġstandard', 'Ġcharger', '.']","[0, 627, 3822, 531, 1427, 31, 321, 207, 7, 1812, 207, 624, 204, 722, 634, 10, 2526, 27362, 4, 2]"
R059,the system must predict remaining range with 95% accuracy every 5 minutes.,"['the', 'Ġsystem', 'Ġmust', 'Ġpredict', 'Ġremaining', 'Ġrange', 'Ġwith', 'Ġ95', '%', 'Ġaccuracy', 'Ġevery', 'Ġ5', 'Ġminutes', '.']","[0, 627, 467, 531, 7006, 2405, 1186, 19, 6164, 207, 8611, 358, 195, 728, 4, 2]"
R060,the battery must maintain 90% capacity after 500 cycles at 25°c.,"['the', 'Ġbattery', 'Ġmust', 'Ġmaintain', 'Ġ90', '%', 'Ġcapacity', 'Ġafter', 'Ġ500', 'Ġcycles', 'Ġat', 'Ġ25', 'Â°', 'c', '.']","[0, 627, 3822, 531, 3014, 1814, 207, 2148, 71, 1764, 16726, 23, 564, 12938, 438, 4, 2]"
R061,the system must limit current draw to 20a during peak acceleration.,"['the', 'Ġsystem', 'Ġmust', 'Ġlimit', 'Ġcurrent', 'Ġdraw', 'Ġto', 'Ġ20', 'a', 'Ġduring', 'Ġpeak', 'Ġacceleration', '.']","[0, 627, 467, 531, 3000, 595, 2451, 7, 291, 102, 148, 4996, 19308, 4, 2]"
R062,the battery must include a thermal shutdown at 60°c to prevent overheating.,"['the', 'Ġbattery', 'Ġmust', 'Ġinclude', 'Ġa', 'Ġthermal', 'Ġshutdown', 'Ġat', 'Ġ60', 'Â°', 'c', 'Ġto', 'Ġprevent', 'Ġoverhe', 'ating', '.']","[0, 627, 3822, 531, 680, 10, 17210, 5001, 23, 1191, 12938, 438, 7, 2097, 27169, 1295, 4, 2]"
R063,the system must support fast charging to 50% in 30 minutes with a compatible charger.,"['the', 'Ġsystem', 'Ġmust', 'Ġsupport', 'Ġfast', 'Ġcharging', 'Ġto', 'Ġ50', '%', 'Ġin', 'Ġ30', 'Ġminutes', 'Ġwith', 'Ġa', 'Ġcompatible', 'Ġcharger', '.']","[0, 627, 467, 531, 323, 1769, 6489, 7, 654, 207, 11, 389, 728, 19, 10, 16632, 27362, 4, 2]"
R064,the battery status must be accessible via a mobile app within 1 second.,"['the', 'Ġbattery', 'Ġstatus', 'Ġmust', 'Ġbe', 'Ġaccessible', 'Ġvia', 'Ġa', 'Ġmobile', 'Ġapp', 'Ġwithin', 'Ġ1', 'Ġsecond', '.']","[0, 627, 3822, 2194, 531, 28, 6500, 1241, 10, 1830, 1553, 624, 112, 200, 4, 2]"
R065,the system must reduce power by 10% for every 5°c above 40°c ambient temperature.,"['the', 'Ġsystem', 'Ġmust', 'Ġreduce', 'Ġpower', 'Ġby', 'Ġ10', '%', 'Ġfor', 'Ġevery', 'Ġ5', 'Â°', 'c', 'Ġabove', 'Ġ40', 'Â°', 'c', 'Ġambient', 'Ġtemperature', '.']","[0, 627, 467, 531, 1888, 476, 30, 158, 207, 13, 358, 195, 12938, 438, 1065, 843, 12938, 438, 25771, 5181, 4, 2]"
R066,the battery must provide a warning at 15% capacity remaining.,"['the', 'Ġbattery', 'Ġmust', 'Ġprovide', 'Ġa', 'Ġwarning', 'Ġat', 'Ġ15', '%', 'Ġcapacity', 'Ġremaining', '.']","[0, 627, 3822, 531, 694, 10, 2892, 23, 379, 207, 2148, 2405, 4, 2]"
R067,the system must log charge cycles for warranty validation.,"['the', 'Ġsystem', 'Ġmust', 'Ġlog', 'Ġcharge', 'Ġcycles', 'Ġfor', 'Ġwarranty', 'Ġvalidation', '.']","[0, 627, 467, 531, 7425, 1427, 16726, 13, 21784, 26567, 4, 2]"
R068,the battery must support a minimum operating temperature of -15°c.,"['the', 'Ġbattery', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġminimum', 'Ġoperating', 'Ġtemperature', 'Ġof', 'Ġ-', '15', 'Â°', 'c', '.']","[0, 627, 3822, 531, 323, 10, 3527, 1633, 5181, 9, 111, 996, 12938, 438, 4, 2]"
