Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
The vehicle should be fully electric.,The onboard computer should be minimal to reduce electronic dependencies.,Technology Conflict,Constraint(The vehicle should b → The onboard computer)
The bike should be resistant to extreme weather conditions.,The vehicle must meet Euro 6 emission standards.,Material Conflict,Constraint(The bike should be r → The vehicle must mee)
The vehicle should have a minimalistic dashboard design.,The wheels should be spoked to maintain classic aesthetics.,Technology Conflict,Constraint(The vehicle should h → The wheels should be)
The bike should be resistant to extreme weather conditions.,The bike must have a top speed of 120 km/h.,Performance Conflict,Constraint(The bike should be r → The bike must have a)
The engine must comply with strict noise restrictions.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Performance Conflict,Constraint(The engine must comp → The vehicle should s)
The onboard computer should be minimal to reduce electronic dependencies.,The bike should have a storage compartment for a full-size helmet.,Performance Conflict,Constraint(The onboard computer → The bike should have)
The seat should be made of premium leather for comfort.,The vehicle should be cost-effective and use affordable materials.,Technology Conflict,Constraint(The seat should be m → The vehicle should b)
The engine should have a minimum power output of 25 HP.,The engine should have a fuel injection system for optimized combustion.,Compliance Conflict,Constraint(The engine should ha → The engine should ha)
The two-wheeler should use biodegradable materials where possible.,The engine should have a fuel injection system for optimized combustion.,Cost Conflict,Constraint(The two-wheeler shou → The engine should ha)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The bike should be resistant to extreme weather conditions.,Sustainability Conflict,Constraint(The vehicle should s → The bike should be r)
The bike should support over-the-air (OTA) software updates.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict,Constraint(The bike should supp → The wheels should be)
The display panel must be fully digital with GPS navigation.,The vehicle should have a minimalistic dashboard design.,Sustainability Conflict,Constraint(The display panel mu → The vehicle should h)
The engine should have a fuel injection system for optimized combustion.,"The vehicle should be affordable with a base price under $1,500.",Design Conflict,Constraint(The engine should ha → The vehicle should b)
The engine must comply with strict noise restrictions.,The two-wheeler must have a rearview camera for safety.,Cost Conflict,Constraint(The engine must comp → The two-wheeler must)
Users should be able to turn off the headlight manually.,Production costs should remain below market average for affordability.,Compliance Conflict,Constraint(Users should be able → Production costs sho)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The wheels should be spoked to maintain classic aesthetics.,Regulatory Conflict,Constraint(The vehicle should s → The wheels should be)
The vehicle should be cost-effective and use affordable materials.,The display panel must be fully digital with GPS navigation.,Contradiction,Constraint(The vehicle should b → The display panel mu)
Production costs should remain below market average for affordability.,The instrument cluster should use analog dials to reduce complexity.,Technology Conflict,Constraint(Production costs sho → The instrument clust)
The frame should be made of lightweight aluminum for efficiency.,The braking system should use ABS for enhanced safety.,No Conflict,Constraint(The frame should be  → The braking system s)
The two-wheeler must have a rearview camera for safety.,Durability must be ensured for at least 10 years of use.,Compliance Conflict,Constraint(The two-wheeler must → Durability must be e)
The wheels should be spoked to maintain classic aesthetics.,The frame should be made of lightweight aluminum for efficiency.,Resource Conflict,Constraint(The wheels should be → The frame should be )
The engine design should prioritize performance over emission constraints.,Users should be able to turn off the headlight manually.,Design Conflict,Constraint(The engine design sh → Users should be able)
The system should minimize power consumption for extended battery life.,The engine design should prioritize performance over emission constraints.,Regulatory Conflict,Constraint(The system should mi → The engine design sh)
The vehicle should incorporate modular components for easy customization.,The two-wheeler must have a rearview camera for safety.,Contradiction,Constraint(The vehicle should i → The two-wheeler must)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The bike should support over-the-air (OTA) software updates.,Regulatory Conflict,Constraint(The vehicle should s → The bike should supp)
The braking system should use ABS for enhanced safety.,The vehicle should incorporate modular components for easy customization.,Contradiction,Constraint(The braking system s → The vehicle should i)
Users should be able to turn off the headlight manually.,The vehicle should incorporate modular components for easy customization.,Sustainability Conflict,Constraint(Users should be able → The vehicle should i)
The two-wheeler should have a maximum curb weight of 120 kg.,The frame should be made of lightweight aluminum for efficiency.,Technology Conflict,Constraint(The two-wheeler shou → The frame should be )
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The vehicle should be fully electric.,No Conflict,Constraint(The vehicle should s → The vehicle should b)
The instrument cluster should use analog dials to reduce complexity.,The battery should use standard charging methods to maintain longevity.,Material Conflict,Constraint(The instrument clust → The battery should u)
The engine design should prioritize performance over emission constraints.,The frame should be made of lightweight aluminum for efficiency.,No Conflict,Constraint(The engine design sh → The frame should be )
The vehicle should incorporate modular components for easy customization.,The two-wheeler should use biodegradable materials where possible.,Cost Conflict,Constraint(The vehicle should i → The two-wheeler shou)
Production costs should remain below market average for affordability.,The braking system should use ABS for enhanced safety.,Technology Conflict,Constraint(Production costs sho → The braking system s)
Users should be able to turn off the headlight manually.,The engine design should prioritize performance over emission constraints.,Regulatory Conflict,Constraint(Users should be able → The engine design sh)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The engine should have a minimum power output of 25 HP.,Design Conflict,Constraint(The vehicle should s → The engine should ha)
The vehicle should be fully electric.,The vehicle should be cost-effective and use affordable materials.,Contradiction,Constraint(The vehicle should b → The vehicle should b)
The vehicle should have a minimalistic dashboard design.,Durability must be ensured for at least 10 years of use.,No Conflict,Constraint(The vehicle should h → Durability must be e)
The seat should be made of premium leather for comfort.,The engine design should prioritize performance over emission constraints.,Sustainability Conflict,Constraint(The seat should be m → The engine design sh)
Production costs should remain below market average for affordability.,The vehicle should include tubeless tires for durability and safety.,Performance Conflict,Constraint(Production costs sho → The vehicle should i)
The instrument cluster should use analog dials to reduce complexity.,The onboard computer should be minimal to reduce electronic dependencies.,Sustainability Conflict,Constraint(The instrument clust → The onboard computer)
The vehicle design should be compact and lightweight.,The instrument cluster should use analog dials to reduce complexity.,Compliance Conflict,Constraint(The vehicle design s → The instrument clust)
The onboard computer should be minimal to reduce electronic dependencies.,The vehicle should support fast charging to reach 80% in 30 minutes.,Material Conflict,Constraint(The onboard computer → The vehicle should s)
The vehicle must meet Euro 6 emission standards.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,Regulatory Conflict,Constraint(The vehicle must mee → The vehicle must ach)
The two-wheeler must have a rearview camera for safety.,The vehicle design should be compact and lightweight.,No Conflict,Constraint(The two-wheeler must → The vehicle design s)
The vehicle should incorporate modular components for easy customization.,The bike should have a storage compartment for a full-size helmet.,Design Conflict,Constraint(The vehicle should i → The bike should have)
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Design Conflict,Constraint(The two-wheeler shou → The vehicle should s)
The engine design should prioritize performance over emission constraints.,The bike should include an always-on headlight for safety compliance.,Cost Conflict,Constraint(The engine design sh → The bike should incl)
The vehicle should be fully electric.,The battery should use standard charging methods to maintain longevity.,Performance Conflict,Constraint(The vehicle should b → The battery should u)
The instrument cluster should use analog dials to reduce complexity.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,Cost Conflict,Constraint(The instrument clust → The vehicle must ach)
The seat should be made of premium leather for comfort.,The vehicle must meet Euro 6 emission standards.,Technology Conflict,Constraint(The seat should be m → The vehicle must mee)
The bike should include an always-on headlight for safety compliance.,The vehicle should incorporate modular components for easy customization.,Performance Conflict,Constraint(The bike should incl → The vehicle should i)
The vehicle design should be compact and lightweight.,The engine design should prioritize performance over emission constraints.,Contradiction,Constraint(The vehicle design s → The engine design sh)
The frame should be made of lightweight aluminum for efficiency.,The battery should use standard charging methods to maintain longevity.,Regulatory Conflict,Constraint(The frame should be  → The battery should u)
The bike should support over-the-air (OTA) software updates.,The wheels should be spoked to maintain classic aesthetics.,Regulatory Conflict,Constraint(The bike should supp → The wheels should be)
The vehicle design should be compact and lightweight.,The vehicle must include a high-capacity battery for extended electric range.,Technology Conflict,Constraint(The vehicle design s → The vehicle must inc)
The display panel must be fully digital with GPS navigation.,The bike should have a storage compartment for a full-size helmet.,Cost Conflict,Constraint(The display panel mu → The bike should have)
The braking system should use ABS for enhanced safety.,The engine should have a fuel injection system for optimized combustion.,Performance Conflict,Constraint(The braking system s → The engine should ha)
The vehicle must include a high-capacity battery for extended electric range.,The vehicle should support fast charging to reach 80% in 30 minutes.,Regulatory Conflict,Constraint(The vehicle must inc → The vehicle should s)
The engine should have a fuel injection system for optimized combustion.,The seat should be made of premium leather for comfort.,Performance Conflict,Constraint(The engine should ha → The seat should be m)
The onboard computer should be minimal to reduce electronic dependencies.,The bike should support over-the-air (OTA) software updates.,Technology Conflict,Constraint(The onboard computer → The bike should supp)
The instrument cluster should use analog dials to reduce complexity.,The battery should use standard charging methods to maintain longevity.,Regulatory Conflict,Constraint(The instrument clust → The battery should u)
The onboard computer should be minimal to reduce electronic dependencies.,The bike should be resistant to extreme weather conditions.,Cost Conflict,Constraint(The onboard computer → The bike should be r)
The bike should have a storage compartment for a full-size helmet.,The bike should include an always-on headlight for safety compliance.,Compliance Conflict,Constraint(The bike should have → The bike should incl)
The bike must have a top speed of 120 km/h.,The vehicle design should be compact and lightweight.,Compliance Conflict,Constraint(The bike must have a → The vehicle design s)
The vehicle must meet Euro 6 emission standards.,Users should be able to turn off the headlight manually.,No Conflict,Constraint(The vehicle must mee → Users should be able)
The bike should have a storage compartment for a full-size helmet.,The system should minimize power consumption for extended battery life.,Resource Conflict,Constraint(The bike should have → The system should mi)
The vehicle must include a high-capacity battery for extended electric range.,The two-wheeler should have a maximum curb weight of 120 kg.,Performance Conflict,Constraint(The vehicle must inc → The two-wheeler shou)
The bike should include an always-on headlight for safety compliance.,The vehicle should incorporate modular components for easy customization.,Cost Conflict,Constraint(The bike should incl → The vehicle should i)
The vehicle should be cost-effective and use affordable materials.,Production costs should remain below market average for affordability.,Sustainability Conflict,Constraint(The vehicle should b → Production costs sho)
The two-wheeler should use biodegradable materials where possible.,The vehicle should incorporate modular components for easy customization.,Technology Conflict,Constraint(The two-wheeler shou → The vehicle should i)
The braking system should use ABS for enhanced safety.,The engine should have a fuel injection system for optimized combustion.,Technology Conflict,Constraint(The braking system s → The engine should ha)
The two-wheeler must have a rearview camera for safety.,The bike should include an always-on headlight for safety compliance.,Cost Conflict,Constraint(The two-wheeler must → The bike should incl)
The bike should include an always-on headlight for safety compliance.,The vehicle must include a high-capacity battery for extended electric range.,Resource Conflict,Constraint(The bike should incl → The vehicle must inc)
The seat should be made of premium leather for comfort.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Performance Conflict,Constraint(The seat should be m → The vehicle should s)
The seat should be made of premium leather for comfort.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Resource Conflict,Constraint(The seat should be m → The vehicle should s)
The bike should support over-the-air (OTA) software updates.,The vehicle should be cost-effective and use affordable materials.,Design Conflict,Constraint(The bike should supp → The vehicle should b)
The display panel must be fully digital with GPS navigation.,The vehicle should support fast charging to reach 80% in 30 minutes.,Material Conflict,Constraint(The display panel mu → The vehicle should s)
The braking system should use ABS for enhanced safety.,The seat should be made of premium leather for comfort.,Regulatory Conflict,Constraint(The braking system s → The seat should be m)
The vehicle should incorporate modular components for easy customization.,The vehicle should support fast charging to reach 80% in 30 minutes.,Material Conflict,Constraint(The vehicle should i → The vehicle should s)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The vehicle should include tubeless tires for durability and safety.,Performance Conflict,Constraint(The vehicle should s → The vehicle should i)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Production costs should remain below market average for affordability.,Performance Conflict,Constraint(The vehicle should s → Production costs sho)
The engine design should prioritize performance over emission constraints.,The vehicle should incorporate modular components for easy customization.,No Conflict,Constraint(The engine design sh → The vehicle should i)
The vehicle must meet Euro 6 emission standards.,The bike should support over-the-air (OTA) software updates.,Contradiction,Constraint(The vehicle must mee → The bike should supp)
The bike should include an always-on headlight for safety compliance.,The vehicle design should be compact and lightweight.,Technology Conflict,Constraint(The bike should incl → The vehicle design s)
The display panel must be fully digital with GPS navigation.,The bike must have a top speed of 120 km/h.,Material Conflict,Constraint(The display panel mu → The bike must have a)
The onboard computer should be minimal to reduce electronic dependencies.,Production costs should remain below market average for affordability.,Resource Conflict,Constraint(The onboard computer → Production costs sho)
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The vehicle must meet Euro 6 emission standards.,Material Conflict,Constraint(The vehicle must ach → The vehicle must mee)
The vehicle must meet Euro 6 emission standards.,The display panel must be fully digital with GPS navigation.,Contradiction,Constraint(The vehicle must mee → The display panel mu)
The bike must have a top speed of 120 km/h.,Production costs should remain below market average for affordability.,Cost Conflict,Constraint(The bike must have a → Production costs sho)
The two-wheeler must have a rearview camera for safety.,The instrument cluster should use analog dials to reduce complexity.,Regulatory Conflict,Constraint(The two-wheeler must → The instrument clust)
The battery should use standard charging methods to maintain longevity.,The vehicle should be cost-effective and use affordable materials.,Cost Conflict,Constraint(The battery should u → The vehicle should b)
The vehicle must include a high-capacity battery for extended electric range.,The vehicle must meet Euro 6 emission standards.,Regulatory Conflict,Constraint(The vehicle must inc → The vehicle must mee)
The vehicle should have a minimalistic dashboard design.,The vehicle must include a high-capacity battery for extended electric range.,Resource Conflict,Constraint(The vehicle should h → The vehicle must inc)
The wheels should be spoked to maintain classic aesthetics.,The braking system should use ABS for enhanced safety.,Performance Conflict,Constraint(The wheels should be → The braking system s)
The bike must have a top speed of 120 km/h.,The seat should be made of premium leather for comfort.,Technology Conflict,Constraint(The bike must have a → The seat should be m)
The braking system should use ABS for enhanced safety.,The instrument cluster should use analog dials to reduce complexity.,Material Conflict,Constraint(The braking system s → The instrument clust)
The vehicle should be fully electric.,Production costs should remain below market average for affordability.,Performance Conflict,Constraint(The vehicle should b → Production costs sho)
The bike should support over-the-air (OTA) software updates.,The wheels should be spoked to maintain classic aesthetics.,Technology Conflict,Constraint(The bike should supp → The wheels should be)
The wheels should be spoked to maintain classic aesthetics.,The onboard computer should be minimal to reduce electronic dependencies.,Resource Conflict,Constraint(The wheels should be → The onboard computer)
The bike should be resistant to extreme weather conditions.,The vehicle must include a high-capacity battery for extended electric range.,Performance Conflict,Constraint(The bike should be r → The vehicle must inc)
The vehicle should have a minimalistic dashboard design.,The engine should have a minimum power output of 25 HP.,Performance Conflict,Constraint(The vehicle should h → The engine should ha)
The two-wheeler must have a rearview camera for safety.,The vehicle should include tubeless tires for durability and safety.,Material Conflict,Constraint(The two-wheeler must → The vehicle should i)
Users should be able to turn off the headlight manually.,The bike should have a storage compartment for a full-size helmet.,Cost Conflict,Constraint(Users should be able → The bike should have)
The bike should have a storage compartment for a full-size helmet.,The instrument cluster should use analog dials to reduce complexity.,Technology Conflict,Constraint(The bike should have → The instrument clust)
The system should minimize power consumption for extended battery life.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,No Conflict,Constraint(The system should mi → The vehicle should s)
The instrument cluster should use analog dials to reduce complexity.,The frame should be made of lightweight aluminum for efficiency.,Regulatory Conflict,Constraint(The instrument clust → The frame should be )
The vehicle should support fast charging to reach 80% in 30 minutes.,The bike should support over-the-air (OTA) software updates.,Regulatory Conflict,Constraint(The vehicle should s → The bike should supp)
The onboard computer should be minimal to reduce electronic dependencies.,The braking system should use ABS for enhanced safety.,Sustainability Conflict,Constraint(The onboard computer → The braking system s)
Production costs should remain below market average for affordability.,The bike should have a storage compartment for a full-size helmet.,Performance Conflict,Constraint(Production costs sho → The bike should have)
The vehicle should have a minimalistic dashboard design.,The vehicle should include tubeless tires for durability and safety.,Performance Conflict,Constraint(The vehicle should h → The vehicle should i)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The engine design should prioritize performance over emission constraints.,Resource Conflict,Constraint(The vehicle should s → The engine design sh)
The wheels should be spoked to maintain classic aesthetics.,The vehicle should include tubeless tires for durability and safety.,Cost Conflict,Constraint(The wheels should be → The vehicle should i)
The vehicle should include tubeless tires for durability and safety.,The onboard computer should be minimal to reduce electronic dependencies.,Design Conflict,Constraint(The vehicle should i → The onboard computer)
The vehicle should be fully electric.,"The vehicle should be affordable with a base price under $1,500.",Contradiction,Constraint(The vehicle should b → The vehicle should b)
The bike should support over-the-air (OTA) software updates.,The bike should include an always-on headlight for safety compliance.,Performance Conflict,Constraint(The bike should supp → The bike should incl)
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The bike should be resistant to extreme weather conditions.,Resource Conflict,Constraint(The vehicle must ach → The bike should be r)
The vehicle should be fully electric.,"The vehicle should be affordable with a base price under $1,500.",Technology Conflict,Constraint(The vehicle should b → The vehicle should b)
The wheels should be spoked to maintain classic aesthetics.,The vehicle should incorporate modular components for easy customization.,Sustainability Conflict,Constraint(The wheels should be → The vehicle should i)
The wheels should be spoked to maintain classic aesthetics.,Durability must be ensured for at least 10 years of use.,Technology Conflict,Constraint(The wheels should be → Durability must be e)
The bike should support over-the-air (OTA) software updates.,The vehicle must meet Euro 6 emission standards.,No Conflict,Constraint(The bike should supp → The vehicle must mee)
"The vehicle should be affordable with a base price under $1,500.",The two-wheeler must have a rearview camera for safety.,Resource Conflict,Constraint(The vehicle should b → The two-wheeler must)
Production costs should remain below market average for affordability.,The two-wheeler must have a rearview camera for safety.,Material Conflict,Constraint(Production costs sho → The two-wheeler must)
The battery should use standard charging methods to maintain longevity.,The two-wheeler must have a rearview camera for safety.,Resource Conflict,Constraint(The battery should u → The two-wheeler must)
The vehicle must include a high-capacity battery for extended electric range.,The two-wheeler should have a maximum curb weight of 120 kg.,Regulatory Conflict,Constraint(The vehicle must inc → The two-wheeler shou)
The vehicle should incorporate modular components for easy customization.,The vehicle must include a high-capacity battery for extended electric range.,Design Conflict,Constraint(The vehicle should i → The vehicle must inc)
The display panel must be fully digital with GPS navigation.,The seat should be made of premium leather for comfort.,Material Conflict,Constraint(The display panel mu → The seat should be m)
Durability must be ensured for at least 10 years of use.,The battery should use standard charging methods to maintain longevity.,Design Conflict,Constraint(Durability must be e → The battery should u)
The vehicle should be cost-effective and use affordable materials.,Durability must be ensured for at least 10 years of use.,Contradiction,Constraint(The vehicle should b → Durability must be e)
The vehicle should have a minimalistic dashboard design.,The seat should be made of premium leather for comfort.,Cost Conflict,Constraint(The vehicle should h → The seat should be m)
The engine should have a minimum power output of 25 HP.,The vehicle must meet Euro 6 emission standards.,Performance Conflict,Constraint(The engine should ha → The vehicle must mee)
The system should minimize power consumption for extended battery life.,The bike should have a storage compartment for a full-size helmet.,Cost Conflict,Constraint(The system should mi → The bike should have)
The vehicle should include tubeless tires for durability and safety.,The vehicle must include a high-capacity battery for extended electric range.,Cost Conflict,Constraint(The vehicle should i → The vehicle must inc)
The vehicle must include a high-capacity battery for extended electric range.,The instrument cluster should use analog dials to reduce complexity.,Sustainability Conflict,Constraint(The vehicle must inc → The instrument clust)
The vehicle should be fully electric.,The onboard computer should be minimal to reduce electronic dependencies.,Sustainability Conflict,Constraint(The vehicle should b → The onboard computer)
The two-wheeler should have a maximum curb weight of 120 kg.,The engine design should prioritize performance over emission constraints.,Resource Conflict,Constraint(The two-wheeler shou → The engine design sh)
The vehicle should be cost-effective and use affordable materials.,The vehicle must meet Euro 6 emission standards.,Sustainability Conflict,Constraint(The vehicle should b → The vehicle must mee)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Production costs should remain below market average for affordability.,Technology Conflict,Constraint(The vehicle should s → Production costs sho)
The frame should be made of lightweight aluminum for efficiency.,The vehicle should have a minimalistic dashboard design.,Performance Conflict,Constraint(The frame should be  → The vehicle should h)
The vehicle should include tubeless tires for durability and safety.,The vehicle should have a minimalistic dashboard design.,Resource Conflict,Constraint(The vehicle should i → The vehicle should h)
The engine should have a fuel injection system for optimized combustion.,The vehicle design should be compact and lightweight.,Regulatory Conflict,Constraint(The engine should ha → The vehicle design s)
The bike must have a top speed of 120 km/h.,The frame should be made of lightweight aluminum for efficiency.,Resource Conflict,Constraint(The bike must have a → The frame should be )
The two-wheeler should use biodegradable materials where possible.,The vehicle must meet Euro 6 emission standards.,Design Conflict,Constraint(The two-wheeler shou → The vehicle must mee)
The seat should be made of premium leather for comfort.,Users should be able to turn off the headlight manually.,Performance Conflict,Constraint(The seat should be m → Users should be able)
The seat should be made of premium leather for comfort.,The vehicle should be fully electric.,Performance Conflict,Constraint(The seat should be m → The vehicle should b)
The wheels should be spoked to maintain classic aesthetics.,The two-wheeler should have a maximum curb weight of 120 kg.,Technology Conflict,Constraint(The wheels should be → The two-wheeler shou)
The instrument cluster should use analog dials to reduce complexity.,The two-wheeler must have a rearview camera for safety.,Sustainability Conflict,Constraint(The instrument clust → The two-wheeler must)
The bike must have a top speed of 120 km/h.,The two-wheeler should have a maximum curb weight of 120 kg.,Material Conflict,Constraint(The bike must have a → The two-wheeler shou)
Users should be able to turn off the headlight manually.,The bike must have a top speed of 120 km/h.,Compliance Conflict,Constraint(Users should be able → The bike must have a)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The engine design should prioritize performance over emission constraints.,Design Conflict,Constraint(The vehicle should s → The engine design sh)
The engine should have a minimum power output of 25 HP.,The vehicle should include tubeless tires for durability and safety.,Regulatory Conflict,Constraint(The engine should ha → The vehicle should i)
The bike must have a top speed of 120 km/h.,The vehicle should incorporate modular components for easy customization.,Contradiction,Constraint(The bike must have a → The vehicle should i)
The vehicle should include tubeless tires for durability and safety.,The engine should have a fuel injection system for optimized combustion.,Contradiction,Constraint(The vehicle should i → The engine should ha)
The vehicle should be fully electric.,Durability must be ensured for at least 10 years of use.,Technology Conflict,Constraint(The vehicle should b → Durability must be e)
The frame should be made of lightweight aluminum for efficiency.,"The vehicle should be affordable with a base price under $1,500.",Compliance Conflict,Constraint(The frame should be  → The vehicle should b)
The vehicle should incorporate modular components for easy customization.,The vehicle should be cost-effective and use affordable materials.,Performance Conflict,Constraint(The vehicle should i → The vehicle should b)
The bike should support over-the-air (OTA) software updates.,The seat should be made of premium leather for comfort.,Sustainability Conflict,Constraint(The bike should supp → The seat should be m)
Durability must be ensured for at least 10 years of use.,Users should be able to turn off the headlight manually.,No Conflict,Constraint(Durability must be e → Users should be able)
The instrument cluster should use analog dials to reduce complexity.,The two-wheeler should have a maximum curb weight of 120 kg.,No Conflict,Constraint(The instrument clust → The two-wheeler shou)
The instrument cluster should use analog dials to reduce complexity.,The frame should be made of lightweight aluminum for efficiency.,Design Conflict,Constraint(The instrument clust → The frame should be )
The two-wheeler should have a maximum curb weight of 120 kg.,The bike should include an always-on headlight for safety compliance.,Material Conflict,Constraint(The two-wheeler shou → The bike should incl)
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The two-wheeler should have a maximum curb weight of 120 kg.,Technology Conflict,Constraint(The vehicle must ach → The two-wheeler shou)
The system should minimize power consumption for extended battery life.,The vehicle must meet Euro 6 emission standards.,Performance Conflict,Constraint(The system should mi → The vehicle must mee)
"The vehicle should be affordable with a base price under $1,500.",The two-wheeler should have a maximum curb weight of 120 kg.,Resource Conflict,Constraint(The vehicle should b → The two-wheeler shou)
Users should be able to turn off the headlight manually.,The vehicle should have a minimalistic dashboard design.,Material Conflict,Constraint(Users should be able → The vehicle should h)
The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle should be fully electric.,Performance Conflict,Constraint(The vehicle should s → The vehicle should b)
The wheels should be spoked to maintain classic aesthetics.,The seat should be made of premium leather for comfort.,Technology Conflict,Constraint(The wheels should be → The seat should be m)
The bike should have a storage compartment for a full-size helmet.,Durability must be ensured for at least 10 years of use.,No Conflict,Constraint(The bike should have → Durability must be e)
The vehicle must meet Euro 6 emission standards.,The bike must have a top speed of 120 km/h.,Material Conflict,Constraint(The vehicle must mee → The bike must have a)
